ST231104_33,VINTAGE BE KIND,TO YOUR MIND
ST231104_34,YOU IMPRINTED,ON MY DAUGHTER?
ST231104_35,GOOD IN,THIS WORLD
ST231104_36,DON'T YA,BIG BOY
ST231104_37,INCLUDE WOMEN,IN THE SEQUEL
ST231104_38,EVEN A BAD DAY,IS JUST 24 HOURS
ST231104_39,I HAVE BEEN FALLING,FOR 30 MINUTES!
ST231104_40,YOU'RE FILLED,WITH DETERMINATION.
ST231104_41,ONE DAY,AT A TIME
ST231104_42,IT'S LIGHTS OUT,AND AWAY WE GO
ST231104_43,CUTE SISTER,ON THE GLOBE
ST231104_44,OFFICIANT PRINCESS,BRIDE WITH TEXT
ST231104_45,NO MOURNERS,NO FUNERALS.
ST231104_46,I CAN'T,I HAVE DANCE
ST231104_47,ONE THING,AT A TIME
ST231104_48,YOU'RE MY,PERSON FRIEND
ST231104_49,YOU MISS 100%,OF THE SHOTS
ST231104_50,YOU WIN,OR YOU DIE
ST231104_51,A RACCOON TOOK,ALL MY MONEY
ST231104_52,NOTHING,BUT THE RAIN
ST231104_53,ADVENTURE,AWAITS
ST231104_54,WEAK MESSAGES,CREATE BAD SITUATIONS
ST231104_55,YOU MAKE,STRAY KIDS STAY
ST231104_56,SARCASM IS MY,ONLY DEFENSE
ST231104_57,I WOULD HAVE,COME FOR YOU CROWS
ST231104_58,MONEY DOESNT,BUY HAPPINESS